country,date,inflation_rate
China (People’s Republic of),2010-10-01,87.8803
China (People’s Republic of),2010-10-01,4.4
China (People’s Republic of),2010-11-01,88.84555
China (People’s Republic of),2010-11-01,5.1
China (People’s Republic of),2010-12-01,89.28943
China (People’s Republic of),2010-12-01,4.6
China (People’s Republic of),2011-01-01,90.18423
China (People’s Republic of),2011-01-01,4.9
China (People’s Republic of),2011-02-01,91.33717
China (People’s Republic of),2011-02-01,4.9
China (People’s Republic of),2011-03-01,91.15383
China (People’s Republic of),2011-03-01,5.4
China (People’s Republic of),2011-04-01,91.2455
China (People’s Republic of),2011-04-01,5.3
China (People’s Republic of),2011-05-01,91.33717
China (People’s Republic of),2011-05-01,5.5
China (People’s Republic of),2011-06-01,91.61217
China (People’s Republic of),2011-06-01,6.4
China (People’s Republic of),2011-07-01,92.01405
China (People’s Republic of),2011-07-01,6.5
China (People’s Republic of),2011-08-01,92.27545
China (People’s Republic of),2011-08-01,6.2
China (People’s Republic of),2011-09-01,92.71113
China (People’s Republic of),2011-09-01,6.1
China (People’s Republic of),2011-10-01,92.79826
China (People’s Republic of),2011-10-01,5.5
China (People’s Republic of),2011-11-01,92.62399
China (People’s Republic of),2011-11-01,4.2
China (People’s Republic of),2011-12-01,92.88539
China (People’s Republic of),2011-12-01,4.1
China (People’s Republic of),2012-01-01,94.27955
China (People’s Republic of),2012-01-01,4.5
China (People’s Republic of),2012-02-01,94.19241
China (People’s Republic of),2012-02-01,3.2
China (People’s Republic of),2012-03-01,94.36668
China (People’s Republic of),2012-03-01,3.6
China (People’s Republic of),2012-04-01,94.27955
China (People’s Republic of),2012-04-01,3.4
China (People’s Republic of),2012-05-01,94.01814
China (People’s Republic of),2012-05-01,3.0
China (People’s Republic of),2012-06-01,93.49534
China (People’s Republic of),2012-06-01,2.2
China (People’s Republic of),2012-07-01,93.58247
China (People’s Republic of),2012-07-01,1.8
China (People’s Republic of),2012-08-01,94.193
China (People’s Republic of),2012-08-01,2.0
China (People’s Republic of),2012-09-01,94.48211
China (People’s Republic of),2012-09-01,1.9
China (People’s Republic of),2012-10-01,94.38338
China (People’s Republic of),2012-10-01,1.7
China (People’s Republic of),2012-11-01,94.54095
China (People’s Republic of),2012-11-01,2.0
China (People’s Republic of),2012-12-01,95.23661
China (People’s Republic of),2012-12-01,2.5
China (People’s Republic of),2013-01-01,96.18855
China (People’s Republic of),2013-01-01,2.0
China (People’s Republic of),2013-02-01,97.24627
China (People’s Republic of),2013-02-01,3.2
China (People’s Republic of),2013-03-01,96.37189
China (People’s Republic of),2013-03-01,2.1
China (People’s Republic of),2013-04-01,96.56242
China (People’s Republic of),2013-04-01,2.4
China (People’s Republic of),2013-05-01,95.98406
China (People’s Republic of),2013-05-01,2.1
China (People’s Republic of),2013-06-01,95.98406
China (People’s Republic of),2013-06-01,2.7
China (People’s Republic of),2013-07-01,96.07897
China (People’s Republic of),2013-07-01,2.7
China (People’s Republic of),2013-08-01,96.56228
China (People’s Republic of),2013-08-01,2.6
China (People’s Republic of),2013-09-01,97.33187
China (People’s Republic of),2013-09-01,3.1
China (People’s Republic of),2013-10-01,97.4296
China (People’s Republic of),2013-10-01,3.2
China (People’s Republic of),2013-11-01,97.3318
China (People’s Republic of),2013-11-01,3.0
China (People’s Republic of),2013-12-01,97.6238
China (People’s Republic of),2013-12-01,2.5
China (People’s Republic of),2014-01-01,98.6
China (People’s Republic of),2014-01-01,2.5
China (People’s Republic of),2014-02-01,99.1
China (People’s Republic of),2014-02-01,2.0
China (People’s Republic of),2014-03-01,98.6
China (People’s Republic of),2014-03-01,2.4
China (People’s Republic of),2014-04-01,98.2
China (People’s Republic of),2014-04-01,1.8
China (People’s Republic of),2014-05-01,98.3
China (People’s Republic of),2014-05-01,2.5
China (People’s Republic of),2014-06-01,98.2
China (People’s Republic of),2014-06-01,2.3
China (People’s Republic of),2014-07-01,98.2
China (People’s Republic of),2014-07-01,2.3
China (People’s Republic of),2014-08-01,98.4
China (People’s Republic of),2014-08-01,2.0
China (People’s Republic of),2014-09-01,98.9
China (People’s Republic of),2014-09-01,1.6
China (People’s Republic of),2014-10-01,98.9
China (People’s Republic of),2014-10-01,1.6
China (People’s Republic of),2014-11-01,98.6
China (People’s Republic of),2014-11-01,1.4
China (People’s Republic of),2014-12-01,99.0
China (People’s Republic of),2014-12-01,1.5
China (People’s Republic of),2015-01-01,99.3
China (People’s Republic of),2015-01-01,0.8
China (People’s Republic of),2015-02-01,100.5
China (People’s Republic of),2015-02-01,1.4
China (People’s Republic of),2015-03-01,99.9
China (People’s Republic of),2015-03-01,1.4
China (People’s Republic of),2015-04-01,99.7
China (People’s Republic of),2015-04-01,1.5
China (People’s Republic of),2015-05-01,99.5
China (People’s Republic of),2015-05-01,1.2
China (People’s Republic of),2015-06-01,99.5
China (People’s Republic of),2015-06-01,1.4
China (People’s Republic of),2015-07-01,99.9
China (People’s Republic of),2015-07-01,1.6
China (People’s Republic of),2015-08-01,100.4
China (People’s Republic of),2015-08-01,2.0
China (People’s Republic of),2015-09-01,100.5
China (People’s Republic of),2015-09-01,1.6
China (People’s Republic of),2015-10-01,100.1
China (People’s Republic of),2015-10-01,1.3
China (People’s Republic of),2015-11-01,100.1
China (People’s Republic of),2015-11-01,1.5
China (People’s Republic of),2015-12-01,100.6
China (People’s Republic of),2015-12-01,1.6
China (People’s Republic of),2016-01-01,101.1
China (People’s Republic of),2016-01-01,1.8
