country,date,inflation_rate,mom_change,yoy_change,ma_3m,stddev_12m
United States,2011-01-03,94.28311,4373.5139982491809300,2.30179030908053602300,63.2544416666666667,47.7828361568836413
United States,2011-01-03,2.681603,-97.15579704572749032100,134.47082801790356243800,33.0240993333333333,47.6499717508773774
United States,2011-01-04,94.89024,3438.5640603773190900,2.83250881860495359100,63.9516510000000000,47.8795621633657308
United States,2011-01-04,3.163631,-96.66601011863812337300,169.89109255511914471100,33.5784913333333333,47.7073791270847521
United States,2011-01-05,95.33662,2913.5189597016845500,3.27280455725008590100,64.4634970000000000,47.9714474485907281
United States,2011-01-05,3.568646,-96.25679408395221059900,212.1735258638109600,34.0229656666666667,47.7609134729348790
United States,2011-01-06,95.23452,2568.6457552808544200,2.98522957165455010300,64.7132620000000000,47.9998122408081833
United States,2011-01-06,3.558828,-96.26309031641047804900,137.9336280848793500,34.1206646666666667,47.8199345964369623
United States,2011-01-07,95.3189,2578.3789494743775200,2.58783269724627272600,64.7040826666666667,48.0272607987603514
United States,2011-01-07,3.628716,-96.19307818281578994300,122.36864117775747358700,34.1688146666666667,47.8522573857145322
United States,2011-01-08,95.58175,2534.0377698337373300,2.36591814967619526200,64.8431220000000000,48.0426525936721758
United States,2011-01-08,3.771208,-96.05446855702056093300,78.93503702104541453800,34.3272246666666667,47.8968589684554823
United States,2011-01-09,95.72689,2438.3614481089348600,1.53132411521003072600,65.0266160000000000,48.0219101626995012
United States,2011-01-09,3.868357,-95.95896513508377844500,44.25539500067683396800,34.4554850000000000,47.9181251392284125
United States,2011-01-10,95.52943,2369.5091481990933100,0.67360984649211552200,65.0415590000000000,47.9735266426594927
United States,2011-01-10,3.5252,-96.30982829061159477200,11.42892454903874693400,34.3076623333333333,47.9418651432260956
United States,2011-01-11,95.44885,2607.6151707704527400,0.11771971777476482800,64.8344933333333333,47.9516182876318578
United States,2011-01-11,3.394378,-96.44377276415588034800,-4.88330868346145849200,34.1228093333333333,47.9668382994916252
United States,2011-01-12,95.21342,2705.0329103005027700,-0.02215583172992314100,64.6855493333333333,47.9650116957320093
